feature,importance
個股券商分點區域分析_近60日買超5分點間接近比例,23
賣超第2名分點前11天賣筆數,23
賣超第8名分點前3天賣均值(千),23
賣超第13名分點前20天賣均張,23
賣超第6名分點前2天金額增減(千),23
買超第10名分點前1天買均張,23
賣超第14名分點前3天賣均值(千),23
買超第11名分點前10天賣均價,23
賣超第14名分點前14天券商代號,23
買超第9名分點前15天買均張,23
買超第3名分點前4天買筆數,23
主力券商_前18天分點出貨比(%),23
賣超第4名分點前18天賣均值(千),22
賣超第8名分點前20天券商代號,22
賣超第11名分點前9天賣均張,22
賣超第7名分點賣均值(千),22
買超第7名分點前9天賣均價,22
賣超第9名分點前9天賣均張,22
買超第4名分點前9天賣筆數,22
賣超第12名分點前4天券商代號,22
主力券商_前16天分點吃貨比(%),22
買超第4名分點前1天買筆數,22
買超第1名分點前10天買筆數,22
買超第8名分點前11天賣均價,22
買超第7名分點買均值(千),22
個股券商分點區域分析_近20日賣超3公司區域密度,21
買超第4名分點前10天買均值(千),21
買超第9名分點買均值(千),21
賣超第15名分點前20天券商代號,21
賣超第1名分點前5天賣均張,21
賣超第2名分點前14天賣均值(千),21
主力券商_前20天分點出貨比(%),21
買超第14名分點前19天賣均價,21
買超第5名分點前8天買筆數,21
買超第10名分點前14天買均值(千),21
主力券商_前20天分點進出,21
外資券商_分點吃貨比(%),21
賣超第12名分點前11天賣均張,21
賣超第3名分點前1天賣金額(千),21
賣超第14名分點前3天金額增減(千),20
買超第4名分點前7天買均張,20
買超第5名分點前15天買均值(千),20
買超第10名分點前4天買均值(千),20
賣超第1名分點前8天券商代號,20
買超第8名分點前6天買均張,20
賣超第4名分點前12天賣筆數,20
賣超第14名分點前1天賣均值(千),20
買超第14名分點前6天券商代號,20
個股券商分點區域分析_近1日賣超1公司區域密度,20
買超第12名分點前6天買均張,20
買超第1名分點前17天買筆數,20
賣超第2名分點賣筆數,20
賣超第11名分點前2天券商代號,20
主力券商_前8天分點進出,20
買超第12名分點前3天買均張,19
外資券商_前16天分點出貨比(%),19
買超第8名分點前19天賣均價,19
賣超第3名分點前1天券商代號,19
賣超第15名分點前7天券商代號,19
賣超第6名分點前15天賣均張,19
外資券商_前8天分點出貨比(%),19
賣超第9名分點前15天賣均值(千),19
買超第2名分點前18天買均張,19
