dataset,feature,mean_abs_shap
chunk_2,賣超第4名分點前7天張增減,0.0508918220828454
chunk_1,賣超第3名分點前7天券商代號,0.0508214237186116
chunk_2,賣超第2名分點前7天金額增減(千),0.0508123858541653
chunk_1,買超第2名分點前19天賣筆數,0.050796576730856
chunk_2,買超第13名分點前18天買均價,0.0505481884823031
chunk_1,買超第12名分點前8天券商代號,0.0505416875935943
chunk_1,買超第1名分點前3天券商代號,0.0505122719009288
chunk_1,賣超第2名分點前9天買均價,0.0504846850735888
chunk_1,賣超第2名分點前16天券商代號,0.050294156274792
chunk_1,賣超第2名分點前17天買均價,0.0502385403740023
chunk_1,賣超第7名分點前18天賣均價,0.0501554279199215
chunk_1,賣超第6名分點前2天券商代號,0.0501265927133289
chunk_1,買超第1名分點前11天券商代號,0.050080128011274
chunk_3,賣超第15名分點前1天賣均價,0.0496456881808679
chunk_1,買超第4名分點前5天券商代號,0.0496363857922296
chunk_2,買超第15名分點前5天買均價,0.0495843493716005
chunk_1,個股券商分點區域分析_近60日賣超5分點間接近比例,0.0494953496063588
chunk_1,個股券商分點區域分析_近20日成交5分點區域密度,0.0493863229671937
chunk_3,買超第11名分點前13天買均價,0.0493106291949559
chunk_2,買超第11名分點前15天買筆數,0.0492277171051401
chunk_3,賣超第8名分點前14天賣均張,0.048787837792325
chunk_1,賣超第10名分點前14天買均價,0.0486991499008694
chunk_1,買超第2名分點前16天買筆數,0.0486610621723052
chunk_2,買超第14名分點前2天買均價,0.0484866900831542
chunk_1,個股券商分點區域分析_近5日買超2分點區域密度,0.0483423775066585
chunk_2,賣超第12名分點前11天賣均價,0.0482999133999435
chunk_1,賣超第10名分點前2天買筆數,0.048179945065917
chunk_1,賣超第6名分點前17天買筆數,0.0481688747602901
chunk_1,外資券商_前16天分點出貨比(%),0.0481052064494681
chunk_2,買超第1名分點前9天買均價,0.0480818226135789
chunk_1,買超第12名分點前6天券商代號,0.0480019567584962
chunk_1,主力券商_前10天分點出貨比(%),0.0478771837642934
chunk_2,買超第9名分點前5天買均價,0.0478260284599995
chunk_2,賣超第12名分點賣均價,0.0477896513773281
chunk_1,季IFRS財報_歸屬於母公司–稅後資產報酬率累季(%),0.0474591939778126
chunk_3,個股券商分點區域分析_近5日成交5分點區域密度,0.0473747300869224
chunk_1,買超第6名分點前18天券商代號,0.0472187167065893
chunk_1,賣超第15名分點前12天券商代號,0.0470855599393219
chunk_2,賣超第7名分點前3天賣金額(千),0.0468459796816782
chunk_1,賣超第5名分點前4天券商代號,0.0468250326767062
chunk_1,賣超第10名分點前19天賣均值(千),0.0468024316185963
chunk_1,個股券商分點區域分析_近60日賣超1公司區域密度,0.0466949197214516
chunk_3,技術指標_季DIF-季MACD,0.0464589142022776
chunk_3,買超第7名分點前15天張增減,0.0460647846246234
chunk_2,賣超第7名分點前2天賣均價,0.0458445537579054
chunk_1,賣超第4名分點前7天買均價,0.0457765860530578
chunk_2,賣超第1名分點前3天賣張,0.0457480911745862
chunk_1,賣超第3名分點前13天賣筆數,0.0457323322101701
chunk_1,個股券商分點區域分析_近5日買超3公司區域密度,0.0456687410801327
chunk_1,外資券商_前20天分點吃貨比(%),0.0455989641521869
chunk_3,賣超第14名分點前13天賣均價,0.0455282682816073
chunk_1,買超第4名分點前8天買筆數,0.0453409422114374
chunk_2,買超第3名分點前7天賣均張,0.045291002129057
chunk_1,賣超第14名分點前2天賣均價,0.0451767638167456
chunk_1,技術指標_週K(9),0.0451690117804555
chunk_2,買超第4名分點前20天買均張,0.0451601226149741
chunk_2,買超第3名分點前15天買筆數,0.0450968848550787
chunk_1,買超第8名分點前9天券商代號,0.0450769042936649
chunk_1,買超第13名分點前20天買筆數,0.044767245253065
chunk_3,買超第3名分點前17天券商代號,0.0447532250122198
chunk_3,賣超第1名分點前7天賣張,0.0446879775355285
chunk_1,賣超第8名分點前12天券商代號,0.0446054303765427
chunk_1,技術指標_Beta係數(250D),0.0445601482289662
chunk_2,賣超第4名分點前8天賣筆數,0.044304521657635
chunk_2,賣超第9名分點前18天買筆數,0.0442602261774386
chunk_2,買超第1名分點前4天券商代號,0.0442069775356684
chunk_1,買超第6名分點前13天賣筆數,0.0441804831756091
chunk_2,買超第1名分點買筆數,0.0439730862389955
chunk_1,個股券商分點區域分析_近1日買超3分點區域密度,0.0439711266733842
chunk_1,買超第11名分點前7天買均價,0.0438902665933483
